targetWord,age_group,pc,num_subjects
gondola,5,0.4,5
gondola,6,0.6,5
gondola,7,0.6842105263157895,18
gondola,8,0.6808510638297872,47
gondola,9,0.6071428571428571,56
gondola,10,0.6666666666666666,48
gondola,11,0.4117647058823529,17
gondola,25,0.9577464788732394,71
grate,4,1,2
grate,5,0.8,5
grate,6,0.5,4
grate,7,0.6,15
grate,8,0.32653061224489793,49
grate,9,0.3968253968253968,62
grate,10,0.4489795918367347,49
grate,11,0.45,20
grate,25,0.6363636363636364,77
gutter,3,0.6,5
gutter,4,0.6666666666666666,3
gutter,5,0.6,10
gutter,6,0.4,5
gutter,7,0.3076923076923077,13
gutter,8,0.5641025641025641,39
gutter,9,0.7777777777777778,72
gutter,10,0.717391304347826,46
gutter,11,0.6521739130434783,23
gutter,25,0.9753086419753086,81
hamster,3,0.6666666666666666,6
hamster,4,1,2
hamster,5,1,1
hamster,6,1,4
hamster,7,0.9333333333333333,15
hamster,8,0.9772727272727273,44
hamster,9,0.9387755102040817,49
hamster,10,1,62
hamster,11,0.8928571428571429,28
hamster,25,0.9836065573770492,61
headdress,3,0.5,6
headdress,4,0,1
headdress,5,0.6,5
headdress,6,0,1
headdress,7,0.8,10
headdress,8,0.8666666666666667,45
headdress,9,0.8676470588235294,68
headdress,10,0.8367346938775511,49
headdress,11,0.8928571428571429,28
headdress,25,0.9428571428571428,70
hedgehog,3,0.6666666666666666,3
hedgehog,4,1,1
hedgehog,5,1,4
hedgehog,6,0.6666666666666666,3
hedgehog,7,1,12
hedgehog,8,0.9591836734693877,49
hedgehog,9,0.9152542372881356,59
hedgehog,10,1,48
hedgehog,11,1,11
hedgehog,25,0.987012987012987,77
hoe,3,0.3333333333333333,3
hoe,4,0.75,4
hoe,5,0.5,6
hoe,6,1,4
hoe,7,0.8571428571428571,13
hoe,8,0.88,50
hoe,9,0.9272727272727272,54
hoe,10,0.8653846153846154,51
hoe,11,1,15
hoe,25,0.9672131147540983,61
hopscotch,3,0.8,5
hopscotch,4,1,1
hopscotch,5,1,2
hopscotch,6,1,4
hopscotch,7,1,9
hopscotch,8,0.9130434782608695,46
hopscotch,9,0.8333333333333334,66
hopscotch,10,0.9423076923076923,52
hopscotch,11,0.9285714285714286,14
hopscotch,25,0.9333333333333333,75
horn,3,0.75,4
horn,5,0.6666666666666666,3
horn,6,0.6666666666666666,6
horn,7,0.8,14
horn,8,0.65,40
horn,9,0.8260869565217391,69
horn,10,0.8596491228070176,57
horn,11,0.7777777777777778,27
horn,25,0.9393939393939394,66
kimono,3,0.5,4
kimono,4,1,1
kimono,5,0.4,5
kimono,6,0.8,5
kimono,7,0.7,10
kimono,8,0.7297297297297297,37
kimono,9,0.85,59
kimono,10,0.9215686274509803,51
kimono,11,0.7894736842105263,19
kimono,25,1,67
koala,3,0.5,4
koala,4,1,1
koala,5,1,4
koala,6,1,2
koala,7,0.7692307692307693,13
koala,8,0.9285714285714286,42
koala,9,0.9365079365079365,63
koala,10,0.975,40
koala,11,0.896551724137931,28
koala,25,0.9701492537313433,67
latch,3,0.6,5
latch,4,1,3
latch,5,0.6666666666666666,3
latch,6,1,3
latch,7,0.8181818181818182,11
latch,8,0.8095238095238095,42
latch,9,0.873015873015873,63
latch,10,0.8148148148148148,54
latch,11,0.9545454545454546,22
latch,25,1,66
locker,3,0.6666666666666666,3
locker,4,0.5,2
locker,5,1,3
locker,6,0.5,2
locker,7,0.8181818181818182,11
locker,8,0.9302325581395349,43
locker,9,0.9333333333333333,60
locker,10,0.9056603773584906,53
locker,11,1,19
locker,25,0.984375,64
lollipop,3,0.8,5
lollipop,4,1,1
lollipop,5,1,2
lollipop,6,1,3
lollipop,7,1,17
lollipop,8,1,33
